epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.491,2.73352,4.81538,3.02887,0.54759,0.13333,0.04831,0.00974,2.46543,6.85105,2.93819,0.00048343,0.00048343,0.00048343
2,430.271,2.42663,2.81812,2.45413,0.00485,0.3,0.00466,0.00121,2.90665,5.60412,3.45635,0.000973801,0.000973801,0.000973801
3,634.242,2.37219,2.72414,2.39568,0.0432,0.16667,0.0201,0.00564,3.07052,22.2906,3.38942,0.00145428,0.00145428,0.00145428
4,837.606,2.48015,2.65969,2.39729,0.01351,0.33333,0.00986,0.00221,3.21153,4.56873,3.87964,0.00161753,0.00161753,0.00161753
5,1041.62,2.43462,2.49008,2.33995,0.04059,0.33333,0.03248,0.01016,2.53988,3.68567,2.63949,0.00160104,0.00160104,0.00160104
6,1244.96,2.33077,2.32491,2.31959,0.13772,0.08458,0.10944,0.03526,2.48131,4.13174,2.50767,0.00158455,0.00158455,0.00158455
7,1450.69,2.37411,2.16256,2.32396,0.06873,0.26667,0.10247,0.02607,2.76998,4.22001,2.95041,0.00156806,0.00156806,0.00156806
8,1656.08,2.37234,2.10077,2.28222,0.12321,0.15,0.06048,0.01468,2.70269,3.97973,2.87785,0.00155157,0.00155157,0.00155157
9,1861.23,2.29947,2.02928,2.2438,0.22437,0.38333,0.13653,0.03808,2.61017,2.90238,2.53974,0.00153508,0.00153508,0.00153508
10,2066.94,2.25496,1.88621,2.2156,0.13773,0.35,0.13568,0.04752,2.46416,2.97734,2.2062,0.00151859,0.00151859,0.00151859
11,2272.22,2.19788,1.821,2.13762,0.56399,0.11667,0.17527,0.05559,2.59066,4.41335,2.43622,0.0015021,0.0015021,0.0015021
12,2478.52,2.18172,1.83391,2.11809,0.06232,0.63333,0.076,0.02163,2.47816,2.96062,2.19813,0.00148561,0.00148561,0.00148561
13,2683.8,2.13446,1.80083,2.07237,0.07951,0.17769,0.07451,0.01591,2.7153,3.36614,2.40267,0.00146912,0.00146912,0.00146912
14,2889.81,2.11331,1.74777,2.05599,0.07125,0.15,0.06967,0.02324,2.99263,3.47846,2.72294,0.00145263,0.00145263,0.00145263
15,3095.19,2.09191,1.60303,2.02306,0.1457,0.56667,0.13977,0.04518,2.36708,3.36707,2.19407,0.00143614,0.00143614,0.00143614
16,3301.36,2.08792,1.63442,2.03961,0.53402,0.36667,0.38097,0.10748,2.43351,2.07924,2.19126,0.00141965,0.00141965,0.00141965
17,3506.29,2.1393,1.58589,2.04613,0.32641,0.41667,0.32786,0.10536,2.49574,2.13998,2.21532,0.00140316,0.00140316,0.00140316
18,3711.75,2.1052,1.60545,2.0216,0.2618,0.36667,0.24238,0.07344,2.66614,2.10495,2.29641,0.00138667,0.00138667,0.00138667
